"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_name","track_number","album_name","key_name","mode_name","key_mode"
"John Williams","2017-12-15",2017,0.0646,0.294,9,-14.03,0,0.0416,0.84,0.914,0.129,0.0528,70.294,183533,"The Last Jedi",18,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","A","minor","A minor"
"John Williams","2017-12-15",2017,0.154,0.145,2,-19.186,0,0.0387,0.931,0.929,0.208,0.0396,80.646,186133,"Peace and Purpose",19,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2017-12-15",2017,0.184,0.296,5,-13.013,1,0.0382,0.881,0.87,0.0838,0.043,76.203,508800,"Finale",20,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","2015-12-18",2015,0.188,0.314,3,-11.955,1,0.0358,0.838,0.902,0.128,0.0382,84.803,385920,"Main Title and The Attack on the Jakku Village",1,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","D#","major","D# major"
"John Williams","2015-12-18",2015,0.212,0.0238,4,-24.511,0,0.0409,0.955,0.965,0.106,0.0375,68.484,219933,"The Scavenger",2,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","E","minor","E minor"
"John Williams","2015-12-18",2015,0.372,0.328,7,-11.957,1,0.0318,0.822,0.904,0.0959,0.0811,72.802,190986,"I Can Fly Anything",3,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","G","major","G major"
"John Williams","2015-12-18",2015,0.0793,0.03,2,-25.662,0,0.0368,0.953,0.585,0.323,0.0371,172.775,91240,"Rey Meets BB-8",4,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2015-12-18",2015,0.218,0.221,6,-13.52,1,0.0369,0.879,0.807,0.104,0.039,157.701,174826,"Follow Me",5,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","F#","major","F# major"
"John Williams","2015-12-18",2015,0.234,0.139,9,-16.854,0,0.0342,0.975,0.889,0.0814,0.12,102.682,191066,"Rey's Theme",6,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","A","minor","A minor"
"John Williams","2015-12-18",2015,0.436,0.473,10,-11.018,0,0.031,0.82,0.738,0.393,0.199,78.505,212493,"The Falcon",7,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","A#","minor","A# minor"
